ticker,marketCap,enterpriseValue,trailingPE,forwardPE,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,Valorização (%)
ITSA4.SA,124059860992.0,132105994240.0,8.115108,6.714286,1.3652868,8.262,11.776033818343084,37.90723952953526,0.7922120010201376,0.28026,-0.0165,0.0035899999,0.17228001,0.77,1.39,1.68,8328000000.0,1847000064.0,13.478,2.0,1.581,7342000128.0,12675999744.0,-1073249984.0,30.96
RENT3.SA,40861052928.0,75873681408.0,17.857141,11.199422,1.6033598,24.168,1.917,9.34,0.05876,0.2376,0.20407,0.06251,0.091409996,37.526,2.17,3.46,39575511040.0,8123856896.0,169.658,1.331,1.003,8249248768.0,43251912704.0,7128072192.0,28.13
HAPV3.SA,16056788992.0,23353196544.0,11.869565,30.10438045872079,0.33049008,65.82294642807275,0.792,8.362,-0.01623,0.13871999,0.16836001,0.01332,-0.00985,58.159,-0.94,0.29,29488152576.0,2792657920.0,34.667,2.048,1.812,9541785600.0,16839942144.0,-1226621568.0,-45.51
LREN3.SA,14618946560.0,16118334464.0,11.29771,9.426751,1.4375911,10.295,1.044,7.634,0.088640004,0.61169,0.13419,0.05921,0.13270001,14.878,1.31,1.57,15432867840.0,2111467008.0,30.11,1.742,1.414,1790786048.0,3101498112.0,1449941376.0,-63.1
SUZB3.SA,60683116544.0,138860331008.0,7.7080064,6.716826,1.4067155,34.904,2.707,5.904,0.15256,0.37727,0.22918,0.05367,0.18742001,41.325,6.37,7.31,51299360768.0,20651242215.72584,227.437,3.163,2.307,20371439616.0,98415149056.0,104389376.0,69.03
KLBN11.SA,127624855552.0,141830733824.0,27.170952,9.354166,8.717237083656629,1.678,6.962,19.787,0.10257,0.30020002,0.17296,0.03175,0.18424,3.352,0.661,1.92,20372684800.0,7167886848.0,280.953,2.113,1.536,8082753024.0,37616013312.0,-3694349568.0,73.58
GGBR4.SA,34193283072.0,47126638592.0,11.452829,6.3010373,0.66237444,27.492,0.682,5.461,0.04731,0.124069996,0.08324,0.04182,0.059770003,33.715,1.59,2.89,69101658112.0,8629995520.0,35.41,2.891,1.437,8973849600.0,19519410176.0,-382218752.0,126.47
CSNA3.SA,11747901440.0,47926214656.0,11.869565,8.298078,0.82308066,10.485,1.072,5.72,-0.05053,0.25785,0.18796,0.03076,-0.102010004,33.703,-1.7,1.04,44693643264.0,8378865152.0,312.346,1.348,0.925,19107641344.0,52640464896.0,-266778624.0,13.33
ELET3.SA,122636566528.0,169369452544.0,18.737024,13.337439,1.0259957,52.778,3.877,11.736,0.15168999,0.53758,0.02269,0.02342,0.056900002,19.678,2.89,4.06,43681132544.0,14432063488.0,63.152,1.864,1.282,27467560960.0,74996277248.0,11570957009.77169,16.6
TAEE11.SA,12736124928.0,22264817664.0,39.32979,11.736508,1.6730778,22.097,5.151,9.215,0.41443002,0.61884,0.51815,0.072119996,0.24912001,12.547,0.94,3.15,4322267136.0,2416171008.0,136.956,1.237,1.151,896883008.0,10425576448.0,1269486464.0,111.63
