ticker,marketCap,enterpriseValue,trailingPE,forwardPE,pegRatio,priceToBook,bookValue,enterpriseToRevenue,enterpriseToEbitda,profitMargins,grossMargins,operatingMargins,returnOnAssets,returnOnEquity,revenuePerShare,earningsPerShare,trailingEps,forwardEps,totalRevenue,ebitda,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow
BPAC11.SA,132180049920.0,214275391488.0,64.41367,10.631721,,3.1478827,12.564,6.048,,0.31561002,0.0,0.49521,0.019809999,0.1918,7.446,,0.614,3.72,35426942976.0,,,,,289924218880.0,310344581120.0,
BRML3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTS3.SA,24801667072.0,24729200640.0,32.221375,29.93617,,5.1525874,8.192,4.529,23.622,0.14385,0.69525003,0.18807,0.06373,0.15835,9.244,,1.31,1.41,5460523008.0,1046878016.0,31.876,2.522,2.244,1943040000.0,1629318016.0,104330752.0
COGN3.SA,5378313728.0,12072291328.0,5.711539,16.5,,0.4315606,6.882,1.857,7.449,0.15127,0.67944,0.1866,0.03649,0.08325,3.475,,0.52,0.18,6501400064.0,1620652032.0,51.307,1.383,1.221,1421704960.0,6974388224.0,391031136.0
USIM5.SA,6330791424.0,11327399936.0,23.636362,6.341463,,0.26476577,19.64,0.427,6.667,0.0053,0.07676,0.055710003,0.008590001,0.01138,21.532,,0.22,0.82,26504724480.0,1698998016.0,31.997,4.264,2.507,6556379136.0,8643852288.0,-533168256.0
CSAN3.SA,15296606208.0,91601960960.0,,3.7926264,,1.9382949,4.246,2.093,6.853,-0.25175,0.31294,0.23743,0.0471,-0.24821,23.521,,-6.02,2.17,43771285504.0,13367583744.0,192.898,2.135,1.829,17646567424.0,67072561152.0,-2604506368.0
BRFS3.SA,32486291456.0,44880752640.0,8.675214,11.599999,,2.0241299,10.029,0.707,4.714,0.06034,0.26237,0.122209996,0.07707,0.25631002,38.773,,2.34,1.75,63513550848.0,9521731584.0,138.433,1.458,0.953,12981515264.0,24054505472.0,4639654400.0
IGTI11.SA,,29137569792.0,138.95705,11.615384,,6.186834,3.661,23.038,38.014,0.33694,0.69507,0.65656996,0.04547,0.098620005,1.03,,0.163,1.95,1264744960.0,766497984.0,93.669,4.875,4.766,2271283968.0,4130287104.0,26584624.0
SEER3.SA,1287516928.0,2664799488.0,21.531914,11.0,,1.0284553,9.84,1.287,5.602,0.028970001,0.57019,0.22504999,0.06748,0.049099997,16.296,,0.47,0.92,2070628992.0,475687008.0,135.335,1.262,1.197,316936000.0,1694216960.0,157717376.0
CIEL3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
AALR3.SA,927641024.0,1524492160.0,,8.700001,,0.6696723,9.094,1.226,8.645,-0.05646,0.27975,0.06972,0.03,-0.058319997,9.805,,-0.56,0.7,1243346048.0,176336000.0,79.555,0.983,0.919,122270000.0,886972032.0,-240866752.0
AMAR3.SA,759007680.0,1327495168.0,,-2.5964913,,2.6714802,0.554,0.954,-530.15,-0.22683,0.49098998,0.23408002,-0.0062,-1.82035,2.711,,-0.17,-0.57,1392168960.0,-2504000.0,224.567,0.652,0.246,92052000.0,639134976.0,-247792128.0
ALSO3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
ARZZ3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
BEEF3.SA,3348908544.0,19169454080.0,,6.631579,,-4.556962,-1.106,0.503,5.588,-0.03155,0.20089,0.06434,0.04658,-5.2564,64.723,,-1.81,0.76,38077931520.0,3430513920.0,,1.48,1.167,11874053120.0,27491442688.0,267804752.0
BBSE3.SA,72814780416.0,66359840768.0,8.429214,8.846698,,6.243342,6.008,6.488,6.759,0.84512,0.98353,0.92122,0.33738998,0.73004997,5.259,,4.45,4.24,10228758528.0,9818066944.0,,2.495,2.495,6455132160.0,0.0,6409361408.0
BIDI11.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDI3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
BIDI4.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
BMGB4.SA,2163301120.0,7166289408.0,7.5714283,4.7564106,,0.59029436,6.285,3.292,,0.12438,0.0,0.31053,0.00664,0.07991,3.738,,0.49,0.78,2176893952.0,,,,,415648000.0,5271617024.0,
BOVA11.SA,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,
BPAN4.SA,11380187136.0,31472582656.0,16.545454,8.750001,,1.502394,6.057,3.487,,0.08677,0.0,0.31324,0.0123000005,0.100530006,7.221,,0.55,1.04,9026551808.0,,,,,53766000.0,20141840384.0,
BRDT3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
BRPR3.SA,60919544.0,,,0.29871106,,0.03274612,4005.665,,,,,,,,,,,,,,,,,,,
BTOW3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
CAML3.SA,1620087296.0,4602896384.0,7.7868853,5.0531917,,0.46858045,10.137,0.375,5.793,0.017690001,0.19489,0.02865,0.0346,0.06631,35.954,,0.61,0.94,12262938624.0,794497024.0,159.439,1.642,1.048,2530203904.0,5512743936.0,177850624.0
CEPE3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
CGAS5.SA,18071339008.0,23837165568.0,9.784284,18.459303,,11.850331,10.717,1.6,6.26,0.11793,0.22488001,0.21040002,0.13534,1.53956,112.395,,12.98,6.88,14894707712.0,3807972096.0,622.086,1.949,1.715,1827704064.0,8834754560.0,-1312671744.0
CIEL3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
CLSC3.SA,3659395072.0,6999047680.0,4.8395867,,,0.93506056,95.181,0.634,3.918,0.06673,0.17232999,0.14846,0.06919,0.21089001,275.566,,18.39,,11035874304.0,1786499968.0,111.845,1.281,1.16,755323008.0,4321499136.0,-328271488.0
CMIN3.SA,27431802880.0,23091181568.0,7.651515,12.317074,,2.6804674,1.884,1.367,3.672,0.2138,0.50344,0.28100002,0.09871,0.32371,3.091,,0.66,0.41,16896940032.0,6288826880.0,97.256,2.241,2.097,14295859200.0,9954072576.0,4020882176.0
CNTO3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
COGN3.SA,5378313728.0,12072291328.0,5.711539,16.5,,0.4315606,6.882,1.857,7.449,0.15127,0.67944,0.1866,0.03649,0.08325,3.475,,0.52,0.18,6501400064.0,1620652032.0,51.307,1.383,1.221,1421704960.0,6974388224.0,391031136.0
CRPG5.SA,629624256.0,508176256.0,,,,1.0820785,20.322,0.714,-23.938,-0.16507,0.02173,-0.0505,-0.02902,-0.18511999,24.534,,-4.05,,711939968.0,-21229000.0,1.658,3.13,1.367,139723008.0,9777000.0,126818752.0
CTSA3.SA,21212244.0,241292640.0,,,,0.22880861,18.793,2.454,-3.372,-1.24599,-0.38136002,-6.45498,-0.08902001,-0.63826,14.138,,-13.7,,98346000.0,-71551000.0,167.12,0.302,0.118,7087000.0,218468000.0,-12903625.0
CYRE3.SA,9146785792.0,13397030912.0,5.33547,6.6764703,,0.9782566,25.525,1.605,9.35,0.20482,0.32601002,0.14101,0.04403,0.20807,22.903,,4.68,3.74,8345521152.0,1432798976.0,59.471,3.363,1.848,3012403968.0,6195393024.0,-1319234688.0
DIRR3.SA,7047923200.0,7641574400.0,10.9008045,9.368663,,3.235458,12.567,2.139,10.151,0.18264,0.37027,0.20607,0.04657,0.32347,20.62,,3.73,4.34,3573159936.0,752779008.0,85.979,3.823,2.519,1629522048.0,2034866944.0,-243504256.0
DOHL3.SA,402095616.0,520551296.0,,,,0.6415136,9.197,0.814,83.288,-0.00654,0.20156,-0.02489,-0.00834,-0.00601,8.486,,-0.2,,639846016.0,6250000.0,22.169,6.002,2.689,78018000.0,153724992.0,-12120125.0
ELET6.SA,95741296640.0,153544392704.0,11.183334,9.0500965,,0.8689941,54.051,3.667,9.233,0.23156,0.53571,0.27456,0.028870001,0.082770005,18.739,,4.2,5.19,41877458944.0,16630330368.0,61.574,2.29,1.379,26977865728.0,74860232704.0,6924738048.0
ENGI11.SA,21713674240.0,142838513664.0,34.420288,9.117083,,6.0348115,7.871,4.183,17.074,0.10727,0.26258,0.22777,0.054169998,0.21505,14.942,,1.38,5.21,34151348224.0,8365734912.0,166.52,1.381,1.26,8584616960.0,38014935040.0,-2566492928.0
ESTC3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEN3.SA,1415394688.0,1961064448.0,27.653847,4.9246573,,0.7508354,9.576,0.938,9.75,0.01487,0.26319999,0.04662,0.019609999,0.05132,10.618,,0.26,1.46,2090123008.0,201139008.0,50.939,4.378,1.839,867376000.0,1113083008.0,640829376.0
FESA4.SA,2534423552.0,1955695360.0,15.6,5.0142856,,0.71045446,9.881,0.859,7.421,0.13649,0.16399999,0.0018600001,0.01017,0.09421,6.69,,0.45,1.4,2277063936.0,263551008.0,11.986,3.085,2.009,838723008.0,403321984.0,25959376.0
FLRY3.SA,7003442688.0,10134206464.0,11.173914,9.113476,,1.3399374,9.59,1.3,5.796,0.0805,0.27581,0.16370001,0.06202,0.11605,14.305,,1.15,1.41,7795283968.0,1748498944.0,103.34,2.292,2.181,2460559104.0,5497897984.0,883556480.0
GNDI3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
GOAU3.SA,8384056320.0,54486519808.0,7.790909,,,0.4402548,19.466,0.799,6.441,0.0036000002,0.12802,0.079239994,0.044699997,0.060900003,66.967,,1.1,,68191727616.0,8458811904.0,28.423,2.644,1.24,6887383040.0,15994067968.0,-767538368.0
GRND3.SA,4862642176.0,3447620352.0,6.8227844,7.1866665,,1.2033936,4.479,1.299,6.921,0.26721,0.4765,0.08748,0.064619996,0.18645,2.914,,0.79,0.75,2653044992.0,498120000.0,5.053,4.466,3.769,1613854976.0,198832992.0,299984736.0
HGTX3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
HYPE3.SA,16076218368.0,23855351808.0,20.0,10.409836,,1.3671349,18.579,3.562,20.247,0.12078,0.56385,-0.20563999,0.02562,0.06841,10.589,,1.27,2.44,6696712192.0,1178192000.0,81.272,1.263,0.742,1740114048.0,9543418880.0,1248615552.0
IGTA3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
IRBR3.SA,4023396864.0,-48496724.0,5.716279,8.072249,,0.79084957,62.161,-0.008,-0.067,0.118669994,0.119770005,-0.06268,0.028280001,0.14732,72.39,,8.6,6.09,5924272128.0,718619008.0,10.377,1.355,1.046,4599825920.0,527932992.0,-1255478784.0
ITSA4.SA,120558944256.0,129606246400.0,8.021739,6.589286,,1.389656,7.966,15.802,72.609,1.85528,0.28603,-0.00525,0.00374,0.17547001,0.751,,1.38,1.68,8201999872.0,1784999936.0,13.795,1.973,1.582,7448999936.0,12535000064.0,323375008.0
JHSF3.SA,3581182720.0,7424617984.0,3.407643,5.691489,,0.6224549,8.595,4.323,10.768,0.62194,0.58766997,0.40997002,0.030620001,0.18346001,2.54,,1.57,0.94,1717624064.0,689526976.0,86.254,2.099,1.361,1892248064.0,5320522240.0,-551840256.0
KLBN11.SA,128619692032.0,145407787008.0,27.700453,9.536458,,12.903453,1.419,7.244,20.299,0.09,0.30372998,0.110649996,0.03464,0.16363001,3.3,,0.661,1.92,20074215424.0,7163262976.0,335.019,1.959,1.391,6470301184.0,37884788736.0,-3924036864.0
LCAM3.SA,,,,,,,,,,,,,,,,,,,,,,,,,,
LIGT3.SA,3126802432.0,8987842560.0,0.9523809,14.090909,,0.40953827,15.139,0.588,3.367,0.15819,0.0806,0.13362001,0.044770002,0.57758,41.058,,6.51,0.44,15296282624.0,2669626624.0,182.234,1.44,1.25,3600000000.0,10277999616.0,
LREN3.SA,18265872384.0,19696930816.0,15.008264,11.566878,,1.786171,10.167,1.332,9.928,0.08647,0.60828,0.0849,0.05343,0.12555,14.094,,1.21,1.57,14785692672.0,1983933056.0,29.135,1.67,1.296,1630807040.0,2990956032.0,1291084544.0
